CO_TAZID,SUBAREAID,CO_FIPS,CO_NAME,MedInc
350040.0,1.0,35.0,SALT LAKE,85298.0
350041.0,1.0,35.0,SALT LAKE,175114.0
350042.0,1.0,35.0,SALT LAKE,94658.0
350043.0,1.0,35.0,SALT LAKE,85298.0
350044.0,1.0,35.0,SALT LAKE,53136.0
350046.0,1.0,35.0,SALT LAKE,108297.0
350047.0,1.0,35.0,SALT LAKE,50556.0
350048.0,1.0,35.0,SALT LAKE,85298.0
350052.0,1.0,35.0,SALT LAKE,47188.0
350053.0,1.0,35.0,SALT LAKE,94658.0
350054.0,1.0,35.0,SALT LAKE,94658.0
350055.0,1.0,35.0,SALT LAKE,100886.0
350056.0,1.0,35.0,SALT LAKE,72903.0
350057.0,1.0,35.0,SALT LAKE,83999.0
350058.0,1.0,35.0,SALT LAKE,53136.0
350059.0,1.0,35.0,SALT LAKE,175114.0
350060.0,1.0,35.0,SALT LAKE,94658.0
350061.0,1.0,35.0,SALT LAKE,50556.0
350062.0,1.0,35.0,SALT LAKE,120477.0
350063.0,1.0,35.0,SALT LAKE,61250.0
350064.0,1.0,35.0,SALT LAKE,132745.0
350065.0,1.0,35.0,SALT LAKE,52473.0
350066.0,1.0,35.0,SALT LAKE,70714.0
350067.0,1.0,35.0,SALT LAKE,53136.0
350068.0,1.0,35.0,SALT LAKE,75658.0
350069.0,1.0,35.0,SALT LAKE,211453.0
350072.0,1.0,35.0,SALT LAKE,47188.0
350073.0,1.0,35.0,SALT LAKE,94658.0
350074.0,1.0,35.0,SALT LAKE,94658.0
350075.0,1.0,35.0,SALT LAKE,66590.0
350076.0,1.0,35.0,SALT LAKE,63944.0
350077.0,1.0,35.0,SALT LAKE,81012.0
350078.0,1.0,35.0,SALT LAKE,300000.0
350079.0,1.0,35.0,SALT LAKE,57963.0
350080.0,1.0,35.0,SALT LAKE,75769.0
350081.0,1.0,35.0,SALT LAKE,58529.0
350082.0,1.0,35.0,SALT LAKE,93728.0
350083.0,1.0,35.0,SALT LAKE,58529.0
350084.0,1.0,35.0,SALT LAKE,54470.0
350085.0,1.0,35.0,SALT LAKE,92192.0
350086.0,1.0,35.0,SALT LAKE,88155.0
350087.0,1.0,35.0,SALT LAKE,92192.0
350088.0,1.0,35.0,SALT LAKE,79173.0
350089.0,1.0,35.0,SALT LAKE,84787.0
350090.0,1.0,35.0,SALT LAKE,52346.0
350091.0,1.0,35.0,SALT LAKE,32500.0
350092.0,1.0,35.0,SALT LAKE,58565.0
350093.0,1.0,35.0,SALT LAKE,94471.0
350094.0,1.0,35.0,SALT LAKE,58565.0
350095.0,1.0,35.0,SALT LAKE,102500.0
